"","Espece","Q25","Q75","Q98","nbocc","DM25","DM10","DM02"
"25%","Rhihip","1","5","198.78","762","2793.44169855118","1538.45808842182","-72.6952844524384"
"25%","Roeroe","1","5","101.56","507","1533.86711502075","-419.310067510605","-1536.84663165092"
"25%","Rusnit","1","18.25","2461.22","2128","1446.99894690514","-318.348206520081","-1535.67664027214"
"25%","Sepsep","1","12","209.56","670","1171.77852892875","-410.145421075821","-1551.93597637176"
"25%","Tadten","1","6","159.48","1165","2972.54510653019","1141.22549757958","-718.695039167404"
"25%","Testes","2","61","3929.2","2681","856.26694393158","-589.754028081894","-1536.27879407883"
"25%","Tetarg","1","1","1","1","1427.14018034935","1427.14018034935","1427.14018034935"
"25%","Tetcan","2.5","4.5","4.96","3","-498.833418250084","-1007.41270055771","-1278.65498445511"
"25%","Tetpyg","1","1","6.08","33","5812.14534193277","3825.1769472599","691.60439749718"
"25%","Tetvir","10","915.25","3517.03999999999","4510","-1245.37617117166","-1635.96713280678","-1767.07428184033"
"25%","Thycor","1","1.5","2.88","4","3827.87814813852","3648.21886131763","3552.40057501316"
"25%","Tyllil","1","2","9.2","21","2519.41863942146","1398.31712245941","134.294110488891"
"25%","Urorug","1","29","1204.6","1655","812.486474514008","-663.041796922684","-1598.88818309784"
"25%","Vesmur","1","2","11","6","3089.2149399519","2337.44215130806","1811.89018826484"
"25%","Yerray","2","26","1198.96","1822","1648.10248410702","335.5679915905","-1230.61568079949"
"25%","Zeuabb","1","1","1","1","12984.534954071","12984.534954071","12984.534954071"
