Esp;Nesp;France;Turquie;Espagne;Norfolk;Scientific name;Group;NomFR;GroupFR
Cyacae;piaf;x;x;x;x;Cyanistes caerulea;bird;Mésange bleue;Autre
Cympud;Cympud;x;;x;;Cymbalophora pudica;moth;Ecaille pudique;Autre
Cyrscu;Cyrscu;x;;x;;Cyrtaspis scutatus;bush-cricket;Meconeme a bouclier;Sauterelle
Decalb;Decalb;x;x;x;;Decticus albifrons;bush-cricket;Dectique a front blanc;Sauterelle
Denmaj;piaf;x;x;x;x;Dendrocopos major;bird;Pic épeiche;Autre
elec;noise;x;x;x;x;electronical noise;noise;parasite;Autre
Embcae;piaf;x;x;x;x;Emberiza caesia;bird;Bruant cendrillard;Autre
Embcal;piaf;x;x;x;x;Emberiza calandra;bird;Bruant proyer;Autre
Embcir;piaf;x;x;x;x;Emberiza cirlus;bird;Bruant zizi;Autre
Embcit;piaf;x;x;x;x;Emberiza citrinella;bird;Bruant jaune;Autre
Epheph;Epheph;x;;x;;Ephippiger ephippiger;bush-cricket;Ephippigere des vignes;Sauterelle
Eptana;Eptnil;x;x;;;Eptesicus anatolicus;bat;Serotine d'Anatolie;Chauve-souris
Eptisa;Eptisa;;;x;;Eptesicus isabellinus;bat;Serotine isabelle;Chauve-souris
Eptnil;Eptnil;x;;x;;Eptesicus nilssonii;bat;Sérotine boréale;Chauve-souris
Eptser;Eptser;x;x;x;x;Eptesicus serotinus;bat;Serotine commune;Chauve-souris
Erirub;piaf;x;x;x;x;Erithacus rubecula;bird;Rougegorge familier;Autre
Euccho;criq;x;x;x;x;Euchorthippus chopardii;grasshopper;Criquet des bragalous;Autre
Eumbor;gril;x;x;x;;Eumodycogryllus bordigalensis;ground-cricket;Grillon bordelais;Autre
Eupcha;Eupsp;x;x;;;Eupholidoptera chabrieri;bush-cricket;Decticelle splendide;Sauterelle
Eupsp;Eupsp;x;x;;;Eupholidoptera sp.;bush-cricket;Decticelle splendide;Sauterelle
Euptyr;Eupsp;x;x;x;;Eupholidoptera tyrrhenica;bush-cricket;Decticelle corse;Sauterelle
Fricoe;piaf;x;x;x;x;Fringilla coelebs;bird;Pinson des arbres;Autre
gril;gril;x;x;x;x;Gryllidae sp.;ground-cricket;grillon sp.;Autre
Grycam;gril;x;x;x;;Gryllus campestris;ground-cricket;Grillon champêtre;Autre
Homsap;mamm;x;x;x;x;Homo sapiens;other mammal;voix;Autre
Hylmer;amph;x;;x;;Hyla meridionalis;frog;Rainette méridionale;Autre
Hypsav;Hypsav;x;x;x;;Hypsugo savii;bat;Vespere de Savi;Chauve-souris
Insp10;Insp10;x;x;x;x;Insect sp.10;insect;Insecte sp. type 10;Autre
Insp11;Insp11;x;x;x;x;Insect sp.11;insect;Insecte sp. type 11;Autre
Insp12;Insp12;x;x;x;x;Insect sp.12;insect;Insecte sp. type 12;Autre
Inssp1;Inssp1;x;;x;x;Insect sp.1;insect;Insecte sp. type 1;Autre
Inssp2;Inssp2;x;;x;x;Insect sp.2;insect;Insecte sp. type 2;Autre
Inssp5;Inssp5;x;;x;x;Insect sp.5;insect;Insecte sp. type 5;Autre
Inssp6;Inssp6;x;;x;x;Insect sp.6;insect;Insecte sp. type 6;Autre
Inssp7;Inssp7;x;;x;x;Insect sp.7;insect;Insecte sp. type 7;Autre
Inssp8;Inssp8;x;x;x;x;Insect sp. 8;insect;Insecte sp. type 8;Autre
Inssp9;Inssp9;x;x;x;x;Insect sp. 9;insect;Insecte sp. type 9;Autre
InsTu1;InsTu1;;x;;;Insect sp. from Turkey 1;insect;Insecte sp. Tu1;Autre
Isopyr;Isopyr;x;x;x;;Isophya pyrenea;bush-cricket;Barbatiste pyreneen;Sauterelle
Lamsp.;Lamsp.;x;x;x;x;Lampyris sp.;beetle;Lampyre sp.;Autre
Lepalb;Lepalb;x;x;;;Leptophyes albovittata;bush-cricket;Sauterelle rayee;Sauterelle
Lepbos;Lepbos;x;;;;Leptophyes boscii;bush-cricket;Sauterelle sarmate;Sauterelle
Leppun;Leppun;x;;x;x;Leptophyes punctatissima;bush-cricket;Sauterelle ponctuee;Sauterelle
Llusta;Llusta;;;x;;Lluciapomaresius stalii;bush-cricket;Ephippigere de Stal;Sauterelle
Lopcri;piaf;x;x;x;x;Lophophanes cristatus;bird;Mésange huppée;Autre
Lusmeg;piaf;x;x;x;x;Luscinia megarhynchos;bird;Rossignol philomèle;Autre
Lyrple;Lyrple;x;x;x;;Lyristes plebejus;cicada;Cigale commune;Autre
mamm;mamm;x;x;x;x;Mammalia sp.;other mammal;Mammifere sp.;Autre
mec;noise;x;x;x;x;mechanical noise;noise;autre bruit;Autre
Metbra;Metbra;x;;;x;Metrioptera brachyptera;bush-cricket;Decticelle des bruyeres;Sauterelle
Metsau;Metsau;x;x;x;;Metrioptera saussuriana;bush-cricket;Decticelle des alpages;Sauterelle
Micagr;Micagr;x;x;x;x;Microtus agrestis;other mammal;Campagnol agreste;Autre
Minsch;Minsch;x;x;x;;Miniopterus schreibersii;bat;Minioptere;Chauve-souris
Mmasp1;mamm;x;x;x;x;micromammals sp.1;other mammal;Micromammifère type 1;Autre
Mmasp2;mamm;x;x;x;x;micromammals sp.2;other mammal;Micromammifère type 2;Autre
Mmasp3;mamm;x;x;x;x;micromammals sp.3;other mammal;Micromammifère type 3;Autre
Mmasp4;mamm;x;x;x;x;micromammals sp.4;other mammal;Micromammifère type 4;Autre
MmaTu1;mamm;x;x;x;;micromammals sp. from Turkey 1;other mammal;Micromammifère de Turquie type 1;Autre
Motcin;piaf;x;x;x;x;Motacilla cinerea;bird;Bergeronnette des ruisseaux;Autre
Motfla;piaf;x;x;x;x;Motacilla flava;bird;Bergeronnette printanière;Autre
Mussp;Mussp;x;x;x;x;Soricidae sp.;other mammal;Musaraigne sp.;Autre
Myoalc;Myoalc;x;x;x;x;Myotis alcathoe;bat;Murin d'Alcathoe;Chauve-souris
Myobec;Myobec;x;x;x;x;Myotis bechsteinii;bat;Murin de Bechstein;Chauve-souris
Myobly;MyoGT;x;x;x;;Myotis blythii;bat;Petit Murin;Chauve-souris
Myobra;Myomys;x;x;;x;Myotis brandtii;bat;Murin de Brandt;Chauve-souris
Myocap;Myocap;x;x;x;;Myotis capaccinii;bat;Murin de Capaccini;Chauve-souris
Myodas;Myodas;x;x;;;Myotis dasycneme;bat;Murin des marais;Chauve-souris
Myodau;Myodau;x;x;x;x;Myotis daubentonii;bat;Murin de Daubenton;Chauve-souris
Myoema;Myoema;x;x;x;x;Myotis emarginatus;bat;Murin a oreilles echancrees;Chauve-souris
MyoGT;MyoGT;x;x;x;x;Myotis cf. myotis;bat;Murin de grande taille;Chauve-souris
Myomyo;MyoGT;x;x;x;;Myotis myotis;bat;Grand Murin;Chauve-souris
Myomys;Myomys;x;x;x;x;Myotis mystacinus;bat;Murin a moustaches;Chauve-souris
Myonat;Myonat;x;x;;x;Myotis nattereri;bat;Murin groupe Natterer;Chauve-souris
MyospA;Myonat;x;x;x;x;Myotis sp. A ('southern' Natterer);bat;Murin sp. A;Chauve-souris
noise;noise;x;x;x;x;noise;noise;bruit;Autre
Nyclas;Nyclas;x;x;x;;Nyctalus lasiopterus;bat;Grande Noctule;Chauve-souris
Nyclei;Nyclei;x;x;x;x;Nyctalus leisleri;bat;Noctule de Leisler;Chauve-souris
Nycnoc;Nycnoc;x;x;x;x;Nyctalus noctula;bat;Noctule commune;Chauve-souris
Odomac;Odomac;;;x;;Odontura macphersoni;bush-cricket;Sauterelle de MacPherson;Sauterelle
Omovir;criq;x;x;x;x;Omocestus viridulus;grasshopper;Criquet verdelet;Autre
Oriori;piaf;x;x;x;x;Oriolus oriolus;bird;Loriot d'Europe;Autre
Ortsp.;Ortsp.;x;x;x;x;Orthoptera sp.;insect;Orthoptère sp.;Autre
Panbia;piaf;x;x;x;x;Panurus biarmicus;bird;Panure à moustaches;Autre
Parmaj;piaf;x;x;x;x;Parus major;bird;Mésange charbonnière;Autre
Pasdom;piaf;x;x;x;x;Passer domesticus;bird;Moineau domestique;Autre
Pelbed;amph;x;x;x;x;Pelophylax bedriagae;frog;Grenouille de Bedriaga;Autre
Pelesc;amph;x;;;;Pelophylax esculantus;frog;Grenouille verte;Autre
Pelgra;amph;x;;x;;Pelophylax grafi;frog;Grenouille de Graf;Autre
Pelrid;amph;x;x;x;x;Pelophylax ridibundus;frog;Grenouille rieuse;Autre
Perate;piaf;x;x;x;x;Periparus ater;bird;Mésange noire;Autre
Phafal;Phafal;x;x;x;;Phaneroptera falcata;bush-cricket;Phaneroptere commun;Sauterelle
Phanan;Phanan;x;x;x;;Phaneroptera nana;bush-cricket;Phaneroptere meridional;Sauterelle
Phofem;Phofem;x;x;;;Pholidoptera femorata;bush-cricket;Decticelle des friches;Sauterelle
Phogri;Phogri;x;x;x;x;Pholidoptera griseoaptera;bush-cricket;Decticelle cendree;Sauterelle
Phopho;piaf;x;x;x;x;Phoenicurus phoenicurus;bird;Rougequeue à front blanc;Autre
Phycol;piaf;x;x;x;x;Phylloscopus collybita;bird;Pouillot véloce;Autre
piaf;piaf;x;x;x;x;Aves sp.;bird;Oiseau sp.;Autre
Picpic;piaf;x;x;x;x;Pica pica;bird;Pie bavarde;Autre
Pipkuh;Pipkuh;x;x;x;x;Pipistrellus kuhlii;bat;Pipistrelle de Kuhl;Chauve-souris
Pipmad;Pipmad;;;;;Pipistrellus madeirensis;bat;Pipistrelle de Madère;Chauve-souris
Pipnat;Pipnat;x;x;x;x;Pipistrellus nathusii;bat;Pipistrelle de Nathusius;Chauve-souris
Pippip;Pippip;x;x;x;x;Pipistrellus pipistrellus;bat;Pipistrelle commune;Chauve-souris
Pippyg;Pippyg;x;x;x;x;Pipistrellus pygmaeus;bat;Pipistrelle soprane;Chauve-souris
Plaaff;Plaaff;x;;x;;Platycleis affinis;bush-cricket;Decticelle cotiere;Sauterelle
Plaalb;Plaalb;x;;x;x;Platycleis albopunctata;bush-cricket;Decticelle chagrinee;Sauterelle
Plafal;Plafal;x;;x;;Platycleis falx;bush-cricket;Decticelle a serpe;Sauterelle
Plaibe;Plaibe;;;x;;Platycleis iberica;bush-cricket;Decticelle iberique;Sauterelle
Plaint;Plaint;x;;x;;Platycleis intermedia;bush-cricket;Decticelle intermediaire;Sauterelle
Plasab;Plasab;x;;x;;Platycleis sabulosa;bush-cricket;Decticelle des sables;Sauterelle
Pleaur;Pleaur;x;;x;x;Plecotus auritus;bat;Oreillard roux;Chauve-souris
Pleaus;Pleaus;x;;x;x;Plecotus austriacus;bat;Oreillard gris;Chauve-souris
Plekol;Plekol;;x;;;Plecotus kolombatovici;bat;Oreillard des Balkans;Chauve-souris
Plemac;Plemac;x;x;x;;Plecotus macrobullaris;bat;Oreillard montagnard;Chauve-souris
Poepal;piaf;x;x;x;x;Poecilus palustris;bird;Mésange nonnette;Autre
Prumod;piaf;x;x;x;x;Prunella modularis;bird;Accenteur mouchet;Autre
Ptebon;Ptebon;x;;;;Pterolepis bonfilsi;bush-cricket;Decticelle d'Evisa;Sauterelle
Ptecor;Ptecor;x;;;;Pterolepis corsicana;bush-cricket;Decticelle de Porto-Vecchio;Sauterelle
Pteger;Pteger;x;x;;;Pterolepis germanica;bush-cricket;Decticelle orientale;Sauterelle
Ptegra;Ptegra;;x;x;;Pterolepis grallata;bush-cricket;Decticelle a pattes fines;Sauterelle
Ptehey;gril;x;x;x;;Pteronemobius heydenii;ground-cricket;Grillon des marais;Autre
Ptepon;Ptepon;x;x;x;;Pterolepis poneli;bush-cricket;Decticelle varoise;Sauterelle
Pycgos;piaf;x;x;x;;Pycnonotus xanthopygos;bird;Bulbul d'Arabie;Autre
Pycjug;Pycjug;;;x;;Pycnogaster jugicola;bush-cricket;Ephippigere droite;Sauterelle
rain;noise;x;x;x;x;rain;noise;pluie;Autre
Ratnor;Ratnor;x;x;x;x;Rattus norvegicus;other mammal;Surmulot;Autre
Regign;piaf;x;x;x;x;Regulus ignicapillus;bird;Roitelet triple-bandeau;Autre
Regreg;piaf;x;x;x;x;Regulus regulus;bird;Roitelet huppé;Autre
Rhibla;Rhibla;;x;;;Rhinolophus blasii;bat;Rhinolophe de Blasius;Chauve-souris
Rhieur;Rhieur;x;x;x;;Rhinolophus euryale;bat;Rhinolophe euryale;Chauve-souris
Rhifer;Rhifer;x;x;x;x;Rhinolophus ferrumequinum;bat;Grand Rhinolophe;Chauve-souris
Rhihip;Rhihip;x;x;x;x;Rhinolophus hipposideros;bat;Petit Rhinolophe;Chauve-souris
Rhimeh;Rhimeh;;x;x;;Rhinolophus mehelyi;bat;Rinolophe de Mehely;Chauve-souris
river;noise;x;x;x;x;watercourse;noise;cours d'eau;Autre
RodTu1;mamm;x;x;x;;Rodentia sp. from Turkey 1;other mammal;Rongeur de Turquie type 1;Autre
Roeroe;Roeroe;x;x;x;x;Roeseliana roeselii;bush-cricket;Decticelle bariolee;Sauterelle
Rusnit;Rusnit;x;x;x;x;Ruspolia nitidula;bush-cricket;Conocephale gracieux;Sauterelle
SauIn1;SauIn1;;;;;Tettigoniidae sp. from India 1;bush-cricket;Sauterelle sp. In1;Sauterelle
SauIn2;SauIn2;;;;;Tettigoniidae sp. from India 2;bush-cricket;Sauterelle sp. In2;Sauterelle
SauIn3;SauIn3;;;;;Tettigoniidae sp. from India 3;bush-cricket;Sauterelle sp. In3;Sauterelle
SauTu4;SauTu4;;x;;;Tettigoniidae sp. from Turkey 4;bush-cricket;Sauterelle sp. Tu4;Sauterelle
SauTu5;SauTu5;;x;;;Tettigoniidae sp. from Turkey 5;bush-cricket;Sauterelle sp. Tu5;Sauterelle
SauTu6;SauTu6;;x;;;Tettigoniidae sp. from Turkey 6;bush-cricket;Sauterelle sp. Tu6;Sauterelle
SauTu7;SauTu7;;x;;;Tettigoniidae sp. from Turkey 7;bush-cricket;Sauterelle sp. Tu7;Sauterelle
SauTurquiesp1;SauTurquiesp1;;x;;;Tettigoniidae sp. from Turkey 1;bush-cricket;Sauterelle sp. Tu1;Sauterelle
SauTurquiesp2;SauTurquiesp2;;x;;;Tettigoniidae sp. from Turkey 2;bush-cricket;Sauterelle sp. Tu2;Sauterelle
SauTurquiesp3;SauTurquiesp3;;x;;;Tettigoniidae sp. from Turkey 3;bush-cricket;Sauterelle sp. Tu3;Sauterelle
Sepsep;Sepsep;x;;x;;Sepiana sepium;bush-cricket;Decticelle echassiere;Sauterelle
Serser;piaf;x;x;x;x;Serinus serinus;bird;Serin cini;Autre
Siteur;piaf;x;x;x;x;Sitta europaea;bird;Sittelle torchepot;Autre
Sorcor;Mussp;x;x;x;x;Soricinus coronatus;bush-cricket;Musaraigne couronnée;Autre
Stralu;piaf;x;x;x;x;Strix aluco;bird;Effraie des clochers;Autre
Strdec;piaf;x;x;x;;Streptopelia decaocto;bird;Tourterelle turque;Autre
Stuvul;piaf;x;x;x;x;Sturnus vulgaris;bird;Etourneau sansonnet;Autre
Sylatr;piaf;x;x;x;x;Sylvia atricapilla;bird;Fauvette à tête noire;Autre
Sylcom;piaf;x;x;x;x;Sylvia communis;bird;Fauvette grisette;Autre
Sylmel;piaf;x;x;x;x;Sylvia melanocephala;bird;Fauvette mélanocéphale;Autre
Tadten;Tadten;x;x;x;;Tadarida teniotis;bat;Molosse;Chauve-souris
Tesori;Tesori;;;;;Tessellana orina;bush-cricket;Decticelle orina;Sauterelle
Testes;Testes;x;x;x;;Tessellana tessellata;bush-cricket;Decticelle carroyee;Sauterelle
Tetarg;Tetarg;x;;x;;Tettigetta argentata;cicada;Cigale argentee;Autre
Tetcan;Tetcan;x;x;x;;Tettigonia cantans;bush-cricket;Sauterelle cymbaliere;Sauterelle
Tethis;Tethis;;;x;;Tettigonia hispanica;bush-cricket;Sauterelle hispanique;Sauterelle
Tetpyg;Tetpyg;x;;x;;Tettigetta pygmea;cicada;Cigale pygmee;Autre
Tetvir;Tetvir;x;x;x;x;Tettigonia viridissima;bush-cricket;Sauterelle verte;Sauterelle
Thycor;Thycor;x;;x;;Thyreonotus corsicus;bush-cricket;Decticelle marocaine;Sauterelle
Trotro;piaf;x;x;x;x;Troglodytes troglodytes;bird;Troglodyte mignon;Autre
Turmer;piaf;x;x;x;x;Turdus merula;bird;Merle noir;Autre
Turphi;piaf;x;x;x;x;Turdus philomelos;bird;Grive musicienne;Autre
Tyllil;Tyllil;x;x;x;;Tylopsis lilifolia;bush-cricket;Phaneroptere liliace;Sauterelle
Urobre;Urosp;x;;;;Uromenus brevicollis;bush-cricket;Ephippigère d'Algérie;Sauterelle
Urorug;Urosp;x;;x;;Uromenus rugosicollis;bush-cricket;Ephippigere carenee;Sauterelle
Urosp;Urosp;x;x;;;Uromenus sp.;bush-cricket;Ephippigère carénée/d'Algérie;Sauterelle
Vesmur;Vesmur;x;x;x;;Vespertilio murinus;bat;Serotine bicolore;Chauve-souris
wind;noise;x;x;x;x;wind;noise;vent;Autre
Yerbey;Yerbey;x;;;;Yersinella beybienkoi;bush-cricket;Decticelle italienne;Sauterelle
Yerbey;Yerbey;x;;;;Yersinella beybienkoi;bush-cricket;Decticelle italienne;Sauterelle
Yerray;Yerray;x;;x;;Yersinella raymondii;bush-cricket;Decticelle frele;Sauterelle
Zeuabb;Zeuabb;x;;x;;Zeuneriana abbreviata;bush-cricket;Decticelle aquitaine;Sauterelle
