"espece"	"nom"	"nomscientific"	"indicateur"	"specialisation"
"ASIFLA"	"Hibou des marais"	"Asio flammeus"	FALSE	""
"ASIOTU"	"Hibou moyen-duc"	"Asio otus"	FALSE	""
"ATHNOC"	"Chevêche d'Athéna"	"Athene noctua"	FALSE	""
"AYTAFF"	"Fuligule à tête noire"	"Aythya affinis"	FALSE	""
"AYTFER"	"Fuligule milouin"	"Aythya ferina"	FALSE	""
"AYTFUL"	"Fuligule morillon"	"Aythya fuligula"	FALSE	""
"AYTMAR"	"Fuligule milouinan"	"Aythya marila"	FALSE	""
"BOMGAR"	"Jaseur boréal"	"Bombycilla garrulus"	FALSE	""
"BONBON"	"Gélinotte des bois"	"Bonasa bonasia"	FALSE	""
"BOTSTE"	"Butor étoilé"	"Botaurus stellaris"	FALSE	""
"BRABER"	"Bernache cravant"	"Branta bernicla"	FALSE	""
"BRACAN"	"Bernache du Canada"	"Branta canadensis"	FALSE	""
"BRALEU"	"Bernache nonnette"	"Branta leucopsis"	FALSE	""
"BUBBUB"	"Grand-duc d'Europe"	"Bubo bubo"	FALSE	""
"BUBIBI"	"Héron garde-boeufs"	"Bubulcus ibis"	FALSE	""
"BUROED"	"Oedicnème criard"	"Burhinus oedicnemus"	FALSE	""
"BUTBUT"	"Buse variable"	"Buteo buteo"	TRUE	"milieux agricoles"
"CALACU"	"Bécasseau à queue pointue"	"Calidris acuminata"	FALSE	""
"CALALB"	"Bécasseau sanderling"	"Calidris alba"	FALSE	""
"CALALP"	"Bécasseau variable"	"Calidris alpina"	FALSE	""
"CALBRA"	"Alouette calandrelle"	"Calandrella brachydactyla"	FALSE	""
"CALCAN"	"Bécasseau maubèche"	"Calidris canutus"	FALSE	""
"CALMIN"	"Bécasseau minute"	"Calidris minuta"	FALSE	""
"CAPEUR"	"Engoulevent d'Europe"	"Caprimulgus europaeus"	FALSE	""
"CARCAN"	"Linotte mélodieuse"	"Carduelis cannabina"	TRUE	"milieux agricoles"
"CARCAR"	"Chardonneret élégant"	"Carduelis carduelis"	TRUE	"milieux bâtis"
"CARCHL"	"Verdier d'Europe"	"Carduelis chloris"	TRUE	"milieux bâtis"
"CARFLA"	"Sizerin flammé"	"Carduelis flammea"	FALSE	""
"CARHOR"	"Sizerin blanchâtre"	"Carduelis hornemanni"	FALSE	""
"CARRIS"	"Linotte à bec jaune"	"Carduelis flavirostris"	FALSE	""
"CARSPI"	"Tarin des aulnes"	"Carduelis spinus"	FALSE	""
"CERBRA"	"Grimpereau des jardins"	"Certhia brachydactyla"	TRUE	"milieux forestiers"
"CERFAM"	"Grimpereau des bois"	"Certhia familiaris"	TRUE	"milieux forestiers"
"CETCET"	"Bouscarle de Cetti"	"Cettia cetti"	FALSE	""
"CHAALE"	"Gravelot à collier interrompu"	"Charadrius alexandrinus"	FALSE	""
"CHADUB"	"Petit Gravelot"	"Charadrius dubius"	FALSE	""
"CHAHIA"	"Grand Gravelot"	"Charadrius hiaticula"	FALSE	""
"CHLHYB"	"Guifette moustac"	"Chlidonias hybrida"	FALSE	""
"CHLNIG"	"Guifette noire"	"Chlidonias niger"	FALSE	""
"CICCIC"	"Cigogne blanche"	"Ciconia ciconia"	FALSE	""
"CICNIG"	"Cigogne noire"	"Ciconia nigra"	FALSE	""
"CINCIN"	"Cincle plongeur"	"Cinclus cinclus"	FALSE	""
"CIRAER"	"Busard des roseaux"	"Circus aeruginosus"	FALSE	""
"CIRCYA"	"Busard Saint-Martin"	"Circus cyaneus"	FALSE	""
"CIRGAL"	"Circaète Jean-le-blanc"	"Circaetus gallicus"	FALSE	""
"CIRMAC"	"Busard pâle"	"Circus macrourus"	FALSE	""
"CIRPYG"	"Busard cendré"	"Circus pygargus"	FALSE	""
"CISJUN"	"Cisticole des joncs"	"Cisticola juncidis"	FALSE	""
"CLAGLA"	"Coucou geai"	"Clamator glandarius"	FALSE	""
"COCCOC"	"Grosbec casse-noyaux"	"Coccothraustes coccothraustes"	TRUE	"milieux forestiers"
"COLLIV"	"Pigeon biset"	"Columba livia"	FALSE	""
"COLOEN"	"Pigeon colombin"	"Columba oenas"	FALSE	""
"COLPAL"	"Pigeon ramier"	"Columba palumbus"	TRUE	"generaliste"
"COLVIR"	"Colin de Virginie"	"Colinus virginianus"	FALSE	""
"CORCOR"	"Corneille noire"	"Corvus corone"	TRUE	"generaliste"
"CORFRU"	"Corbeau freux"	"Corvus frugilegus"	TRUE	"milieux agricoles"
"CORGAR"	"Rollier d'Europe"	"Coracias garrulus"	FALSE	""
"CORMON"	"Choucas des tours"	"Corvus monedula"	TRUE	"milieux bâtis"
"CORRAX"	"Grand Corbeau"	"Corvus corax"	FALSE	""
"COTCOT"	"Caille des blés"	"Coturnix coturnix"	TRUE	"milieux agricoles"
"CRECRE"	"Râle des genêts"	"Crex crex"	FALSE	""
"CUCCAN"	"Coucou gris"	"Cuculus canorus"	TRUE	"generaliste"
"CYGATR"	"Cygne noir"	"Cygnus atratus"	FALSE	""
"CYGOLO"	"Cygne tuberculé"	"Cygnus olor"	FALSE	""
"DELURB"	"Hirondelle de fenêtre"	"Delichon urbicum"	TRUE	"milieux bâtis"
"DENLEU"	"Pic à dos blanc"	"Dendrocopos leucotos"	FALSE	""
"DENMAJ"	"Pic épeiche"	"Dendrocopos major"	TRUE	"milieux forestiers"
"DENMED"	"Pic mar"	"Dendrocopos medius"	TRUE	"milieux forestiers"
"DENMIN"	"Pic épeichette"	"Dendrocopos minor"	FALSE	""
"DRYMAR"	"Pic noir"	"Dryocopus martius"	TRUE	"milieux forestiers"
"EGRALB"	"Grande Aigrette"	"Ardea alba"	FALSE	""
"EGRGAR"	"Aigrette garzette"	"Egretta garzetta"	FALSE	""
"ELACAE"	"Elanion blanc"	"Elanus caeruleus"	FALSE	""
"EMBAUR"	"Bruant auréole"	"Emberiza aureola"	FALSE	""
"EMBCAE"	"Bruant cendrillard"	"Emberiza caesia"	FALSE	""
"EMBCIA"	"Bruant fou"	"Emberiza cia"	FALSE	""
"EMBCIR"	"Bruant zizi"	"Emberiza cirlus"	TRUE	"milieux agricoles"
"EMBCIT"	"Bruant jaune"	"Emberiza citrinella"	TRUE	"milieux agricoles"
"EMBHOR"	"Bruant ortolan"	"Emberiza hortulana"	FALSE	"milieux agricoles"
"EMBLEU"	"Bruant à calotte blanche"	"Emberiza leucocephalos"	FALSE	""
"EMBMEL"	"Bruant mélanocéphale"	"Emberiza melanocephala"	FALSE	""
"EMBSCH"	"Bruant des roseaux"	"Emberiza schoeniclus"	FALSE	""
"EREALP"	"Alouette hausse-col"	"Eremophila alpestris"	FALSE	""
"ERIRUB"	"Rougegorge familier"	"Erithacus rubecula"	TRUE	"milieux forestiers"
"EUOMAL"	"Capucin bec-de-plomb"	"Euodice malabarica"	FALSE	""
"FALCOL"	"Faucon émerillon"	"Falco columbarius"	FALSE	""
"FALNAU"	"Faucon crécerellette"	"Falco naumanni"	FALSE	""
"FALPER"	"Faucon pèlerin"	"Falco peregrinus"	FALSE	""
"FALSUB"	"Faucon hobereau"	"Falco subbuteo"	FALSE	""
"FALTIN"	"Faucon crécerelle"	"Falco tinnunculus"	TRUE	"milieux agricoles"
"FALVES"	"Faucon kobez"	"Falco vespertinus"	FALSE	""
"FICALB"	"Gobemouche à collier"	"Ficedula albicollis"	FALSE	""
"FICHYP"	"Gobemouche noir"	"Ficedula hypoleuca"	FALSE	""
"FICPAR"	"Gobemouche nain"	"Ficedula parva"	FALSE	""
"FRAARC"	"Macareux moine"	"Fratercula arctica"	FALSE	""
"FRICOE"	"Pinson des arbres"	"Fringilla coelebs"	TRUE	"generaliste"
"FRIMON"	"Pinson du Nord"	"Fringilla montifringilla"	FALSE	""
"FULATR"	"Foulque macroule"	"Fulica atra"	FALSE	""
"FULCRI"	"Foulque caronculée"	"Fulica cristata"	FALSE	""
"GALCHL"	"Gallinule poule-d'eau"	"Gallinula chloropus"	FALSE	""
"GALCRI"	"Cochevis huppé"	"Galerida cristata"	TRUE	"milieux agricoles"
"GALGAL"	"Bécassine des marais"	"Gallinago gallinago"	FALSE	""
"GALTHE"	"Cochevis de Thékla"	"Galerida theklae"	FALSE	""
"GARGLA"	"Geai des chênes"	"Garrulus glandarius"	TRUE	"generaliste"
"GLAPAS"	"Chevêchette d'Europe"	"Glaucidium passerinum"	FALSE	""
"GRUGRU"	"Grue cendrée"	"Grus grus"	FALSE	""
"GYPFUL"	"Vautour fauve"	"Gyps fulvus"	FALSE	""
"HAEOST"	"Huîtrier pie"	"Haematopus ostralegus"	FALSE	""
"HIEFAS"	"Aigle de Bonelli"	"Aquila fasciata"	FALSE	""
"HIEPEN"	"Aigle botté"	"Hieraaetus pennatus"	FALSE	""
"HIMHIM"	"Echasse blanche"	"Himantopus himantopus"	FALSE	""
"HIPICT"	"Hypolaïs ictérine"	"Hippolais icterina"	FALSE	""
"HIPPAL"	"Hypolaïs pâle"	"Iduna pallida"	FALSE	""
"HIPPOL"	"Hypolaïs polyglotte"	"Hippolais polyglotta"	TRUE	"generaliste"
"HIRDAU"	"Hirondelle rousseline"	"Cecropis daurica"	FALSE	""
"HIRRUS"	"Hirondelle rustique"	"Hirundo rustica"	TRUE	"milieux bâtis"
"IXOMIN"	"Blongios nain"	"Ixobrychus minutus"	FALSE	""
"JYNTOR"	"Torcol fourmilier"	"Jynx torquilla"	FALSE	""
"LAGLAG"	"Lagopède des saules"	"Lagopus lagopus"	FALSE	""
"LAGMUT"	"Lagopède alpin"	"Lagopus muta"	FALSE	""
"LANCOL"	"Pie-grièche écorcheur"	"Lanius collurio"	TRUE	"milieux agricoles"
"LANEXC"	"Pie-grièche grise"	"Lanius excubitor"	FALSE	""
"LANMER"	"Pie-grièche méridionale"	"Lanius meridionalis"	FALSE	""
"LANMIN"	"Pie-grièche à poitrine rose"	"Lanius minor"	FALSE	""
"LANSEN"	"Pie-grièche à tête rousse"	"Lanius senator"	FALSE	""
"LARARG"	"Goéland argenté"	"Larus argentatus"	FALSE	""
"LARCAN"	"Goéland cendré"	"Larus canus"	FALSE	""
"LARFUS"	"Goéland brun"	"Larus fuscus"	FALSE	""
"LARGEN"	"Goéland railleur"	"Chroicocephalus genei"	FALSE	""
"LARMAR"	"Goéland marin"	"Larus marinus"	FALSE	""
"LARMEL"	"Mouette mélanocéphale"	"Ichthyaetus melanocephalus"	FALSE	""
"LARMIC"	"Goéland leucophée"	"Larus michahellis"	FALSE	""
"LARRID"	"Mouette rieuse"	"Chroicocephalus ridibundus"	FALSE	""
"LEILUT"	"Leïothrix jaune"	"Leiothrix lutea"	FALSE	""
"LIMLAP"	"Barge rousse"	"Limosa lapponica"	FALSE	""
"LIMLIM"	"Barge à queue noire"	"Limosa limosa"	FALSE	""
"LOCFLU"	"Locustelle fluviatile"	"Locustella fluviatilis"	FALSE	""
"LOCLUS"	"Locustelle luscinioïde"	"Locustella luscinioides"	FALSE	""
"LOCNAE"	"Locustelle tachetée"	"Locustella naevia"	FALSE	""
"LOXCUR"	"Bec-croisé des sapins"	"Loxia curvirostra"	FALSE	""
"LOXLEU"	"Bec-croisé bifascié"	"Loxia leucoptera"	FALSE	""
"LULARB"	"Alouette lulu"	"Lullula arborea"	TRUE	"milieux agricoles"
"LUSLUS"	"Rossignol progné"	"Luscinia luscinia"	FALSE	""
"LUSMEG"	"Rossignol philomèle"	"Luscinia megarhynchos"	TRUE	"generaliste"
"LUSSVE"	"Gorgebleue à miroir"	"Luscinia svecica"	FALSE	""
"MARANG"	"Sarcelle marbrée"	"Marmaronetta angustirostris"	FALSE	""
"MELCAL"	"Alouette calandre"	"Melanocorypha calandra"	FALSE	""
"MERALB"	"Harle piette"	"Mergellus albellus"	FALSE	""
"MERAPI"	"Guêpier d'Europe"	"Merops apiaster"	FALSE	""
"MERMER"	"Harle bièvre"	"Mergus merganser"	FALSE	""
"MILCAL"	"Bruant proyer"	"Emberiza calandra"	TRUE	"milieux agricoles"
"MILMIG"	"Milan noir"	"Milvus migrans"	FALSE	""
"MILMIL"	"Milan royal"	"Milvus milvus"	FALSE	""
"MONNIV"	"Niverolle alpine"	"Montifringilla nivalis"	FALSE	""
"MONSAX"	"Monticole de roche"	"Monticola saxatilis"	FALSE	""
"MONSOL"	"Monticole bleu"	"Monticola solitarius"	FALSE	""
"MOTALB"	"Bergeronnette grise"	"Motacilla alba"	FALSE	""
"MOTCIN"	"Bergeronnette des ruisseaux"	"Motacilla cinerea"	FALSE	""
"MOTFLA"	"Bergeronnette printanière"	"Motacilla flava"	TRUE	"milieux agricoles"
"MUSSTR"	"Gobemouche gris"	"Muscicapa striata"	FALSE	""
"NEOPER"	"Vautour percnoptère"	"Neophron percnopterus"	FALSE	""
"NETRUF"	"Nette rousse"	"Netta rufina"	FALSE	""
"NUCCAR"	"Cassenoix moucheté"	"Nucifraga caryocatactes"	FALSE	""
"NUMARQ"	"Courlis cendré"	"Numenius arquata"	FALSE	""
"NUMPHA"	"Courlis corlieu"	"Numenius phaeopus"	FALSE	""
"NYCNYC"	"Bihoreau gris"	"Nycticorax nycticorax"	FALSE	""
"OCELEU"	"Océanite culblanc"	"Oceanodroma leucorhoa"	FALSE	""
"OENHIS"	"Traquet oreillard"	"Oenanthe hispanica"	FALSE	""
"OENOEN"	"Traquet motteux"	"Oenanthe oenanthe"	TRUE	"milieux agricoles"
"OENPLE"	"Traquet pie"	"Oenanthe pleschanka"	FALSE	""
"ORIORI"	"Loriot d'Europe"	"Oriolus oriolus"	TRUE	"generaliste"
"OTUSCO"	"Petit-duc scops"	"Otus scops"	FALSE	""
"PANBIA"	"Panure à moustaches"	"Panurus biarmicus"	FALSE	""
"PANHAL"	"Balbuzard pêcheur"	"Pandion haliaetus"	FALSE	""
"PARATE"	"Mésange noire"	"Periparus ater"	TRUE	"milieux forestiers"
"PARCAE"	"Mésange bleue"	"Cyanistes caeruleus"	TRUE	"generaliste"
"PARCRI"	"Mésange huppée"	"Lophophanes cristatus"	TRUE	"milieux forestiers"
"PARCYA"	"Mésange azurée"	"Parus cyanus"	FALSE	""
"PARLUG"	"Mésange lugubre"	"Poecile lugubris"	FALSE	""
"PARMAJ"	"Mésange charbonnière"	"Parus major"	TRUE	"generaliste"
"PARMON"	"Mésange boréale"	"Parus montanus"	FALSE	""
"PARPAL"	"Mésange nonnette"	"Poecile palustris"	TRUE	"milieux forestiers"
"PASDOM"	"Moineau domestique"	"Passer domesticus"	TRUE	"milieux bâtis"
"PASHIS"	"Moineau espagnol"	"Passer hispaniolensis"	FALSE	""
"PASITA"	"Moineau cisalpin"	"Passer italiae"	FALSE	""
"PASMON"	"Moineau friquet"	"Passer montanus"	TRUE	"milieux bâtis"
"PERAPI"	"Bondrée apivore"	"Pernis apivorus"	FALSE	""
"PERPER"	"Perdrix grise"	"Perdix perdix"	TRUE	"milieux agricoles"
"PETPET"	"Moineau soulcie"	"Petronia petronia"	FALSE	""
"PHACAR"	"Grand Cormoran"	"Phalacrocorax carbo"	FALSE	""
"PHACOL"	"Faisan de Colchide"	"Phasianus colchicus"	FALSE	""
"PHIPUG"	"Combattant varié"	"Calidris pugnax"	FALSE	""
"PHOCHI"	"Flamant du Chili"	"Phoenicopterus chilensis"	FALSE	""
"PHOOCH"	"Rougequeue noir"	"Phoenicurus ochruros"	TRUE	"milieux bâtis"
"PHOPHO"	"Rougequeue à front blanc"	"Phoenicurus phoenicurus"	TRUE	"milieux bâtis"
"PHORUB"	"Flamant rose"	"Phoenicopterus roseus"	FALSE	""
"PHYBON"	"Pouillot de Bonelli"	"Phylloscopus bonelli"	TRUE	"milieux forestiers"
"PHYBOR"	"Pouillot boréal"	"Phylloscopus borealis"	FALSE	""
"PHYCOL"	"Pouillot véloce"	"Phylloscopus collybita"	TRUE	"milieux forestiers"
"PHYSIB"	"Pouillot siffleur"	"Phylloscopus sibilatrix"	TRUE	"milieux forestiers"
"PHYTRO"	"Pouillot fitis"	"Phylloscopus trochilus"	TRUE	"milieux forestiers"
"PICCAN"	"Pic cendré"	"Picus canus"	TRUE	"milieux forestiers"
"PICPIC"	"Pie bavarde"	"Pica pica"	TRUE	"milieux bâtis"
"PICTRI"	"Pic tridactyle"	"Picoides tridactylus"	FALSE	""
"PICVIR"	"Pic vert"	"Picus viridis"	TRUE	"generaliste"
"PLALEU"	"Spatule blanche"	"Platalea leucorodia"	FALSE	""
"PLEFAL"	"Ibis falcinelle"	"Plegadis falcinellus"	FALSE	""
"PLUAPR"	"Pluvier doré"	"Pluvialis apricaria"	FALSE	""
"PLUSQU"	"Pluvier argenté"	"Pluvialis squatarola"	FALSE	""
"PODCRI"	"Grèbe huppé"	"Podiceps cristatus"	FALSE	""
"PORPOR"	"Marouette ponctuée"	"Porzana porzana"	FALSE	""
"PRUCOL"	"Accenteur alpin"	"Prunella collaris"	FALSE	""
"PRUMOD"	"Accenteur mouchet"	"Prunella modularis"	TRUE	"generaliste"
"PSIKRA"	"Perruche à collier"	"Psittacula krameri"	FALSE	""
"PTYRUP"	"Hirondelle de rochers"	"Ptyonoprogne rupestris"	FALSE	""
"PYRGRA"	"Chocard à bec jaune"	"Pyrrhocorax graculus"	FALSE	""
"PYRPYR"	"Bouvreuil pivoine"	"Pyrrhula pyrrhula"	TRUE	"milieux forestiers"
"PYRRAX"	"Crave à bec rouge"	"Pyrrhocorax pyrrhocorax"	FALSE	""
"RALAQU"	"Râle d'eau"	"Rallus aquaticus"	FALSE	""
"RECAVO"	"Avocette élégante"	"Recurvirostra avosetta"	FALSE	""
"REGIGN"	"Roitelet à triple bandeau"	"Regulus ignicapilla"	TRUE	"milieux forestiers"
"REGREG"	"Roitelet huppé"	"Regulus regulus"	TRUE	"milieux forestiers"
"RIPRIP"	"Hirondelle de rivage"	"Riparia riparia"	FALSE	""
"SAXRUB"	"Tarier des prés"	"Saxicola rubetra"	TRUE	"milieux agricoles"
"SAXTOR"	"Tarier pâtre"	"Saxicola rubicola"	TRUE	"milieux agricoles"
"SCORUS"	"Bécasse des bois"	"Scolopax rusticola"	FALSE	""
"SERCIT"	"Venturon montagnard"	"Serinus citrinella"	FALSE	""
"SERCOR"	"Venturon corse"	"Serinus corsicanus"	FALSE	""
"SERSER"	"Serin cini"	"Serinus serinus"	TRUE	"milieux bâtis"
"SITEUR"	"Sittelle torchepot"	"Sitta europaea"	TRUE	"milieux forestiers"
"SITWHI"	"Sittelle corse"	"Sitta whiteheadi"	FALSE	""
"STEALB"	"Sterne naine"	"Sternula albifrons"	FALSE	""
"STEHIR"	"Sterne pierregarin"	"Sterna hirundo"	FALSE	""
"STESAN"	"Sterne caugek"	"Thalasseus sandvicensis"	FALSE	""
"STRALU"	"Chouette hulotte"	"Strix aluco"	FALSE	""
"STRDEC"	"Tourterelle turque"	"Streptopelia decaocto"	TRUE	"milieux bâtis"
"STRORI"	"Tourterelle orientale"	"Streptopelia orientalis"	FALSE	""
"STRSEN"	"Tourterelle maillée"	"Streptopelia senegalensis"	FALSE	""
"STRTUR"	"Tourterelle des bois"	"Streptopelia turtur"	FALSE	""
"STUROS"	"Étourneau roselin"	"Sturnus roseus"	FALSE	""
"STUUNI"	"Étourneau unicolore"	"Sturnus unicolor"	FALSE	""
"STUVUL"	"Étourneau sansonnet"	"Sturnus vulgaris"	FALSE	""
"SURULU"	"Chouette épervière"	"Surnia ulula"	FALSE	""
"SYLATR"	"Fauvette à tête noire"	"Sylvia atricapilla"	TRUE	"generaliste"
"SYLBOR"	"Fauvette des jardins"	"Sylvia borin"	FALSE	""
"SYLCAN"	"Fauvette passerinette"	"Sylvia cantillans"	FALSE	""
"SYLCOM"	"Fauvette grisette"	"Sylvia communis"	TRUE	"milieux agricoles"
"SYLCON"	"Fauvette à lunettes"	"Sylvia conspicillata"	FALSE	""
"SYLCUR"	"Fauvette babillarde"	"Sylvia curruca"	FALSE	""
"SYLHOR"	"Fauvette orphée"	"Sylvia hortensis"	FALSE	""
"SYLMEL"	"Fauvette mélanocéphale"	"Sylvia melanocephala"	TRUE	"milieux forestiers"
"SYLNIS"	"Fauvette épervière"	"Sylvia nisoria"	FALSE	""
"SYLSAR"	"Fauvette sarde"	"Sylvia sarda"	FALSE	""
"SYLUND"	"Fauvette pitchou"	"Sylvia undata"	FALSE	""
"SYRREE"	"Faisan vénéré"	"Syrmaticus reevesii"	FALSE	""
"TACRUF"	"Grèbe castagneux"	"Tachybaptus ruficollis"	FALSE	""
"TADFER"	"Tadorne casarca"	"Tadorna ferruginea"	FALSE	""
"TADTAD"	"Tadorne de Belon"	"Tadorna tadorna"	FALSE	""
"TETRAX"	"Outarde canepetière"	"Tetrax tetrax"	FALSE	""
"TETRIX"	"Tétras lyre"	"Tetrao tetrix"	FALSE	""
"TETURO"	"Grand Tétras"	"Tetrao urogallus"	FALSE	""
"THRAET"	"Ibis sacré"	"Threskiornis aethiopicus"	FALSE	""
"TICMUR"	"Tichodrome échelette"	"Tichodroma muraria"	FALSE	""
"TRIERY"	"Chevalier arlequin"	"Tringa erythropus"	FALSE	""
"TRIGLA"	"Chevalier sylvain"	"Tringa glareola"	FALSE	""
"TRINEB"	"Chevalier aboyeur"	"Tringa nebularia"	FALSE	""
"TRIOCH"	"Chevalier culblanc"	"Tringa ochropus"	FALSE	""
"TRITOT"	"Chevalier gambette"	"Tringa totanus"	FALSE	""
"TROTRO"	"Troglodyte mignon"	"Troglodytes troglodytes"	TRUE	"milieux forestiers"
"TURILI"	"Grive mauvis"	"Turdus iliacus"	FALSE	""
"TURMER"	"Merle noir"	"Turdus merula"	TRUE	"generaliste"
"TURPHI"	"Grive musicienne"	"Turdus philomelos"	TRUE	"milieux forestiers"
"TURPIL"	"Grive litorne"	"Turdus pilaris"	FALSE	""
"TURRUF"	"Grive à gorge noire ou rousse"	"Turdus ruficollis"	FALSE	""
"TURTOR"	"Merle à plastron"	"Turdus torquatus"	FALSE	""
"TURVIS"	"Grive draine"	"Turdus viscivorus"	TRUE	"milieux forestiers"
"TYTALB"	"Effraie des clochers"	"Tyto alba"	FALSE	""
"UPUEPO"	"Huppe fasciée"	"Upupa epops"	TRUE	"milieux agricoles"
"VANVAN"	"Vanneau huppé"	"Vanellus vanellus"	TRUE	"milieux agricoles"
"ZOODAU"	"Grive dorée"	"Zoothera dauma"	FALSE	""
